,,,,,,,Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,,Per 90 Minutes,,,,,,,,,,,-additional
91,Ben Chilwell,eng ENG,DFMF,Chelsea,26-115,1996,19,11,1064,11.8,2,2,4,2,0,0,3,0,1.1,1.1,2.0,3.1,34,29,115,0.17,0.17,0.34,0.17,0.34,0.10,0.16,0.26,0.10,0.26,Matches,d2424d1b
92,Ryan Christie,sct SCO,MFFW,Bournemouth,28-052,1995,24,14,1258,14.0,1,0,1,1,0,0,1,0,1.7,1.7,1.0,2.7,25,54,44,0.07,0.00,0.07,0.07,0.07,0.12,0.08,0.20,0.12,0.20,Matches,26ce2263
93,Carney Chukwuemeka,eng ENG,MFFW,Chelsea,19-177,2003,11,1,232,2.6,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,13,12,16,0.00,0.00,0.00,0.00,0.00,0.11,0.04,0.16,0.11,0.16,Matches,b2f9c73e
94,Bobby Clark,eng ENG,MF,Liverpool,18-067,2005,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,73341ace
95,Nathaniel Clyne,eng ENG,DF,Crystal Palace,32-010,1991,22,19,1640,18.2,0,0,0,0,0,0,3,0,0.0,0.0,0.7,0.7,14,52,29,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches,0442183b
96,Conor Coady,eng ENG,DF,Everton,30-049,1993,22,22,1970,21.9,1,1,2,1,0,0,2,0,0.8,0.8,0.3,1.2,4,40,1,0.05,0.05,0.09,0.05,0.09,0.04,0.01,0.05,0.04,0.05,Matches,2928dca2
97,Jack Colback,eng ENG,MF,Nott'ham Forest,33-173,1989,11,4,497,5.5,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,5,16,3,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches,963a9201
98,Séamus Coleman,ie IRL,DF,Everton,34-186,1988,22,19,1612,17.9,1,0,1,1,0,0,1,0,0.3,0.3,0.6,0.9,13,55,34,0.06,0.00,0.06,0.06,0.06,0.02,0.03,0.05,0.02,0.05,Matches,0420d84f
99,Nathan Collins,ie IRL,DF,Wolves,21-350,2001,21,17,1579,17.5,0,0,0,0,0,0,2,1,0.1,0.1,0.1,0.2,11,60,5,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches,a8c19eb8
100,Levi Colwill,eng ENG,DF,Brighton,20-048,2003,10,8,711,7.9,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,11,35,3,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.06,0.05,0.06,Matches,700783e7
101,Lewis Cook,eng ENG,MF,Bournemouth,26-071,1997,23,17,1554,17.3,0,2,2,0,0,0,3,0,0.2,0.2,2.3,2.4,9,56,8,0.00,0.12,0.12,0.00,0.12,0.01,0.13,0.14,0.01,0.14,Matches,2afc7272
102,Steve Cook,eng ENG,DF,Nott'ham Forest,31-361,1991,12,11,957,10.6,0,0,0,0,0,0,4,0,0.1,0.1,0.6,0.7,1,19,0,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.07,0.01,0.07,Matches,3e5e4e63
103,Liam Cooper,sct SCO,DF,Leeds United,31-228,1991,14,12,1123,12.5,1,0,1,1,0,0,2,0,1.0,1.0,0.5,1.5,1,26,1,0.08,0.00,0.08,0.08,0.08,0.08,0.04,0.12,0.08,0.12,Matches,dc64b8b3
104,Maxwel Cornet,ci CIV,FW,West Ham,26-200,1996,8,1,125,1.4,0,0,0,0,0,0,0,0,1.0,1.0,0.1,1.1,4,4,18,0.00,0.00,0.00,0.00,0.00,0.73,0.05,0.78,0.73,0.78,Matches,beb391dd
105,Diego Costa,es ESP,FW,Wolves,34-190,1988,16,10,799,8.9,0,0,0,0,0,0,2,1,2.5,2.5,0.3,2.8,13,6,43,0.00,0.00,0.00,0.00,0.00,0.28,0.04,0.31,0.28,0.31,Matches,a190d597
106,Vladimír Coufal,cz CZE,DF,West Ham,30-236,1992,20,17,1544,17.2,0,0,0,0,0,0,4,0,0.3,0.3,1.6,1.9,44,72,79,0.00,0.00,0.00,0.00,0.00,0.01,0.09,0.11,0.01,0.11,Matches,fdf3cb77
107,Philippe Coutinho,br BRA,MFFW,Aston Villa,30-307,1992,20,7,788,8.8,1,0,1,1,0,0,3,0,1.4,1.4,0.5,1.8,18,48,68,0.11,0.00,0.11,0.11,0.11,0.16,0.05,0.21,0.16,0.21,Matches,0ef89a37
108,Conor Coventry,ie IRL,MFFW,West Ham,23-021,2000,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,a5ca9127
109,Aaron Cresswell,eng ENG,DF,West Ham,33-121,1989,21,18,1671,18.6,0,0,0,0,0,0,2,0,0.3,0.3,2.7,3.0,28,126,69,0.00,0.00,0.00,0.00,0.00,0.01,0.15,0.16,0.01,0.16,Matches,4f974391
110,Marc Cucurella,es ESP,DF,Chelsea,24-267,1998,24,21,1671,18.6,0,2,2,0,0,0,4,0,0.4,0.4,0.6,1.0,30,73,65,0.00,0.11,0.11,0.00,0.11,0.02,0.03,0.06,0.02,0.06,Matches,1daec722
111,Matheus Cunha,br BRA,FW,Wolves,23-323,1999,11,7,590,6.6,1,0,1,1,0,0,0,0,1.4,1.4,0.4,1.8,9,11,31,0.15,0.00,0.15,0.15,0.15,0.22,0.06,0.28,0.22,0.28,Matches,dc62b55d
112,Patson Daka,zm ZAM,FW,Leicester City,24-188,1998,23,12,969,10.8,4,3,7,4,0,0,2,0,2.8,2.8,2.5,5.3,14,16,64,0.37,0.28,0.65,0.37,0.65,0.26,0.23,0.49,0.26,0.49,Matches,ca45605e
113,Diogo Dalot,pt POR,DF,Manchester Utd,24-028,1999,20,19,1700,18.9,0,2,2,0,0,0,5,0,1.7,1.7,1.8,3.5,40,71,61,0.00,0.11,0.11,0.00,0.11,0.09,0.10,0.19,0.09,0.19,Matches,d9565625
114,Mikkel Damsgaard,dk DEN,MFFW,Brentford,22-286,2000,18,6,655,7.3,0,0,0,0,0,0,3,0,0.6,0.6,0.9,1.6,6,30,31,0.00,0.00,0.00,0.00,0.00,0.09,0.13,0.22,0.09,0.22,Matches,215f3907
115,Danilo,br BRA,MF,Nott'ham Forest,21-351,2001,6,5,365,4.1,0,1,1,0,0,0,1,0,0.3,0.3,0.3,0.5,6,19,8,0.00,0.25,0.25,0.00,0.25,0.07,0.06,0.13,0.07,0.13,Matches,a816dbfb
116,Arnaut Danjuma,nl NED,MFFW,Tottenham,26-074,1997,2,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,6,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.00,0.14,Matches,f08490a6
117,Josh Dasilva,eng ENG,MF,Brentford,24-174,1998,29,13,1241,13.8,3,2,5,3,0,0,1,0,1.0,1.0,1.4,2.4,51,55,49,0.22,0.15,0.36,0.22,0.36,0.07,0.10,0.18,0.07,0.18,Matches,60344e4f
118,Ben Davies,wls WAL,DF,Tottenham,29-356,1993,25,21,1831,20.3,2,2,4,2,0,0,3,0,1.0,1.0,2.3,3.3,30,96,54,0.10,0.10,0.20,0.10,0.20,0.05,0.11,0.16,0.05,0.16,Matches,44781702
119,Tom Davies,eng ENG,MF,Everton,24-289,1998,18,4,516,5.7,0,0,0,0,0,0,3,0,1.2,1.2,0.2,1.3,2,29,11,0.00,0.00,0.00,0.00,0.00,0.20,0.03,0.23,0.20,0.23,Matches,9228b07c
120,Craig Dawson,eng ENG,DF,West Ham,32-344,1990,8,8,720,8.0,0,0,0,0,0,0,2,0,0.5,0.5,0.1,0.6,0,18,1,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.07,0.06,0.07,Matches,3e9e06cb
121,Craig Dawson,eng ENG,DF,Wolves,32-344,1990,10,10,829,9.2,1,0,1,1,0,0,2,0,0.6,0.6,0.0,0.7,2,23,1,0.11,0.00,0.11,0.11,0.11,0.07,0.00,0.07,0.07,0.07,Matches,3e9e06cb
122,Kevin De Bruyne,be BEL,MF,Manchester City,31-291,1991,27,24,2118,23.5,5,14,19,5,0,0,1,0,5.0,5.0,12.2,17.1,93,214,214,0.21,0.59,0.81,0.21,0.81,0.21,0.52,0.73,0.21,0.73,Matches,e46012d4
123,Siriki Dembélé,ci CIV,FWMF,Bournemouth,26-220,1996,6,0,110,1.2,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,5,4,11,0.00,0.00,0.00,0.00,0.00,0.15,0.25,0.41,0.15,0.41,Matches,11f54bd5
124,Leander Dendoncker,be BEL,MF,Aston Villa,28-000,1995,15,3,385,4.3,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,1,10,1,0.00,0.00,0.00,0.00,0.00,0.01,0.11,0.12,0.01,0.12,Matches,5a7301ae
125,Leander Dendoncker,be BEL,MF,Wolves,28-000,1995,4,2,214,2.4,0,0,0,0,0,0,0,0,0.7,0.7,0.0,0.7,1,6,3,0.00,0.00,0.00,0.00,0.00,0.27,0.02,0.29,0.27,0.29,Matches,5a7301ae
126,Emmanuel Dennis,ng NGA,FWMF,Nott'ham Forest,25-151,1997,16,6,687,7.6,2,2,4,2,0,0,3,0,1.8,1.8,0.6,2.4,21,16,60,0.26,0.26,0.52,0.26,0.52,0.24,0.07,0.31,0.24,0.31,Matches,2c44a35d
127,Halil Dervişoğlu,tr TUR,MF,Brentford,23-128,1999,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.31,0.00,0.31,0.31,0.31,Matches,9d8cf204
128,Kiernan Dewsbury-Hall,eng ENG,MF,Leicester City,24-221,1998,27,26,2115,23.5,2,2,4,2,0,0,5,1,2.1,2.1,2.8,4.9,60,120,83,0.09,0.09,0.17,0.09,0.17,0.09,0.12,0.21,0.09,0.21,Matches,5c74c0f5
129,Ibrahima Diallo,fr FRA,MF,Southampton,24-038,1999,17,11,814,9.0,0,0,0,0,0,0,3,0,0.2,0.2,0.1,0.3,9,28,6,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.04,0.02,0.04,Matches,11ff3d56
130,Rúben Dias,pt POR,DF,Manchester City,25-336,1997,21,17,1549,17.2,0,0,0,0,0,0,2,0,1.3,1.3,0.1,1.5,8,80,1,0.00,0.00,0.00,0.00,0.00,0.08,0.01,0.09,0.08,0.09,Matches,31c69ef1
131,Luis Díaz,co COL,FW,Liverpool,26-092,1997,8,7,613,6.8,3,2,5,3,0,0,2,0,1.7,1.7,1.0,2.7,21,25,72,0.44,0.29,0.73,0.44,0.73,0.26,0.15,0.40,0.26,0.40,Matches,4a1a9578
132,Eric Dier,eng ENG,DF,Tottenham,29-090,1994,28,27,2455,27.3,2,1,3,2,0,0,3,0,1.2,1.2,1.2,2.4,8,78,12,0.07,0.04,0.11,0.07,0.11,0.04,0.04,0.09,0.04,0.09,Matches,ac861941
133,Lucas Digne,fr FRA,DF,Aston Villa,29-269,1993,22,16,1299,14.4,1,0,1,1,0,0,4,0,0.3,0.3,1.6,1.9,24,51,77,0.07,0.00,0.07,0.07,0.07,0.02,0.11,0.13,0.02,0.13,Matches,1b84dbe1
134,Issa Diop,fr FRA,DF,Fulham,26-096,1997,19,16,1506,16.7,1,0,1,1,0,0,2,0,0.3,0.3,0.0,0.3,10,57,3,0.06,0.00,0.06,0.06,0.06,0.02,0.00,0.02,0.02,0.02,Matches,a712ca2b
135,Moussa Djenepo,ml MLI,DFFW,Southampton,24-304,1998,13,6,600,6.7,0,2,2,0,0,0,0,0,0.2,0.2,0.4,0.6,24,17,34,0.00,0.30,0.30,0.00,0.30,0.03,0.06,0.09,0.03,0.09,Matches,254147d4
136,Ben Doak,sct SCO,FW,Liverpool,17-155,2005,2,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,733f1a7d
137,Matt Doherty,ie IRL,DFMF,Tottenham,31-089,1992,12,7,667,7.4,1,0,1,1,0,0,0,0,0.8,0.8,0.3,1.0,16,20,57,0.13,0.00,0.13,0.13,0.13,0.10,0.04,0.14,0.10,0.14,Matches,d557d734
138,Gabriel Dos Santos,br BRA,DF,Arsenal,25-117,1997,30,30,2695,29.9,3,0,3,3,0,0,4,0,4.3,4.3,0.2,4.5,14,130,12,0.10,0.00,0.10,0.10,0.10,0.14,0.01,0.15,0.14,0.15,Matches,67ac5bb8
139,Abdoulaye Doucouré,ml MLI,MF,Everton,30-104,1993,19,11,993,11.0,2,2,4,2,0,0,5,1,1.5,1.5,1.3,2.8,16,31,36,0.18,0.18,0.36,0.18,0.36,0.14,0.12,0.25,0.14,0.25,Matches,02b29014
140,Cheick Doucouré,ml MLI,MF,Crystal Palace,23-097,2000,27,27,2192,24.4,0,2,2,0,0,0,10,1,0.9,0.9,1.8,2.7,13,112,12,0.00,0.08,0.08,0.00,0.08,0.04,0.07,0.11,0.04,0.11,Matches,ce4f40c7
141,Flynn Downes,eng ENG,MF,West Ham,24-085,1999,15,4,478,5.3,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.4,2,12,8,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.08,0.07,0.08,Matches,69fdb896
142,Cody Drameh,eng ENG,DF,Leeds United,21-128,2001,1,1,69,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,e0d1510a
143,Martin Dúbravka,sk SVK,GK,Newcastle Utd,34-090,1989,1,0,67,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,3a949a25
144,Shane Duffy,ie IRL,FWDF,Fulham,31-104,1992,4,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,7314bba4
145,Lewis Dunk,eng ENG,DF,Brighton,31-145,1991,28,28,2519,28.0,1,0,1,1,0,0,2,0,1.6,1.6,0.7,2.3,12,113,1,0.04,0.00,0.04,0.04,0.04,0.06,0.02,0.08,0.06,0.08,Matches,282f75f3
146,Jhon Durán,co COL,FW,Aston Villa,19-123,2003,7,0,83,0.9,0,0,0,0,0,0,0,0,0.6,0.6,0.0,0.6,2,3,9,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.60,0.60,Matches,414184f7
147,Malcolm Ebiowei,eng ENG,MFFW,Crystal Palace,19-223,2003,3,0,34,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,2,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,fa9fa773
148,Ederson,br BRA,GK,Manchester City,29-241,1993,29,29,2610,29.0,0,1,1,0,0,0,2,0,0.0,0.0,0.2,0.2,0,0,0,0.00,0.03,0.03,0.00,0.03,0.00,0.01,0.01,0.00,0.01,Matches,3bb7b8b4
149,Odsonne Édouard,fr FRA,FW,Crystal Palace,25-089,1998,27,16,1435,15.9,4,2,6,4,0,0,3,0,3.8,3.8,1.1,4.9,24,32,82,0.25,0.13,0.38,0.25,0.38,0.24,0.07,0.31,0.24,0.31,Matches,0562b7f1
150,Samuel Edozie,eng ENG,FWMF,Southampton,20-077,2003,15,5,541,6.0,0,0,0,0,0,0,0,0,0.9,0.9,0.3,1.2,22,11,34,0.00,0.00,0.00,0.00,0.00,0.15,0.06,0.20,0.15,0.20,Matches,007414dd
151,Anthony Elanga,se SWE,FW,Manchester Utd,20-353,2002,16,5,426,4.7,0,1,1,0,0,0,0,0,0.7,0.7,0.9,1.6,12,8,28,0.00,0.21,0.21,0.00,0.21,0.15,0.19,0.34,0.15,0.34,Matches,2fba6108
152,Harvey Elliott,eng ENG,MFFW,Liverpool,20-011,2003,27,17,1497,16.6,1,2,3,1,0,0,1,0,1.8,1.8,3.2,5.0,47,116,122,0.06,0.12,0.18,0.06,0.18,0.11,0.19,0.30,0.11,0.30,Matches,c8387671
153,Mohamed Elneny,eg EGY,MF,Arsenal,30-278,1992,5,1,113,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,47a34c4f
154,Mohamed Elyounoussi,no NOR,MFFW,Southampton,28-254,1994,27,23,1847,20.5,0,1,1,0,0,0,3,0,2.6,2.6,2.0,4.6,46,44,91,0.00,0.05,0.05,0.00,0.05,0.13,0.10,0.23,0.13,0.23,Matches,68dc0dac
155,Emerson,br BRA,DF,Tottenham,24-091,1999,22,16,1391,15.5,2,1,3,2,0,0,2,1,1.6,1.6,0.6,2.3,42,70,95,0.13,0.06,0.19,0.13,0.19,0.10,0.04,0.15,0.10,0.15,Matches,df8b52a5
156,Christian Eriksen,dk DEN,MF,Manchester Utd,31-060,1992,20,18,1503,16.7,1,7,8,1,0,0,3,0,2.9,2.9,3.0,5.9,16,107,42,0.06,0.42,0.48,0.06,0.48,0.17,0.18,0.35,0.17,0.35,Matches,980522ec
157,Pervis Estupiñán,ec ECU,DF,Brighton,25-084,1998,25,22,1839,20.4,0,3,3,0,0,0,3,0,0.6,0.6,3.6,4.2,66,114,131,0.00,0.15,0.15,0.00,0.15,0.03,0.18,0.20,0.03,0.20,Matches,d38fdf53
158,Jonny Evans,nir NIR,DF,Leicester City,35-102,1988,10,9,811,9.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,6,31,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches,f8fcd2a5
159,Eberechi Eze,eng ENG,MFFW,Crystal Palace,24-290,1998,30,22,1916,21.3,5,3,8,5,0,0,3,0,4.2,4.2,3.4,7.6,52,90,84,0.23,0.14,0.38,0.23,0.38,0.20,0.16,0.36,0.20,0.36,Matches,ae4fc6a4
160,Łukasz Fabiański,pl POL,GK,West Ham,37-362,1985,27,27,2301,25.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,9328b835
161,Fabinho,br BRA,MF,Liverpool,29-174,1993,27,22,1942,21.6,0,0,0,0,0,0,8,0,0.5,0.5,1.0,1.5,9,110,24,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.07,0.02,0.07,Matches,7f3b388c
162,Wout Faes,be BEL,DF,Leicester City,25-012,1998,23,23,2066,23.0,0,1,1,0,0,0,6,1,0.6,0.6,0.5,1.1,8,58,2,0.00,0.04,0.04,0.00,0.04,0.03,0.02,0.05,0.03,0.05,Matches,9c221d14
163,Felipe,br BRA,DF,Nott'ham Forest,33-334,1989,9,8,804,8.9,0,1,1,0,0,0,2,0,0.3,0.3,0.4,0.7,2,12,2,0.00,0.11,0.11,0.00,0.11,0.03,0.04,0.08,0.03,0.08,Matches,51a3c4c8
164,João Félix,pt POR,FWMF,Chelsea,23-156,1999,10,10,757,8.4,2,0,2,2,0,0,0,1,3.6,3.6,0.5,4.1,32,39,68,0.24,0.00,0.24,0.24,0.24,0.42,0.06,0.49,0.42,0.49,Matches,8aafd64f
165,Evan Ferguson,ie IRL,FW,Brighton,18-178,2004,12,6,563,6.3,4,2,6,4,0,0,1,0,3.3,3.3,0.3,3.6,6,6,37,0.64,0.32,0.96,0.64,0.96,0.52,0.05,0.57,0.52,0.57,Matches,4596da74
166,Bruno Fernandes,pt POR,MFFW,Manchester Utd,28-219,1994,28,28,2518,28.0,5,6,11,4,1,1,6,0,5.7,4.9,11.1,15.9,59,191,166,0.18,0.21,0.39,0.14,0.36,0.20,0.40,0.60,0.17,0.57,Matches,507c7bdf
167,Enzo Fernández,ar ARG,MF,Chelsea,22-088,2001,10,10,893,9.9,0,2,2,0,0,0,1,0,0.6,0.6,1.4,2.0,10,105,15,0.00,0.20,0.20,0.00,0.20,0.06,0.14,0.20,0.06,0.20,Matches,5ff4ab71
168,Roberto Firmino,br BRA,FWMF,Liverpool,31-195,1991,22,12,1129,12.5,9,4,13,9,0,0,0,0,4.7,4.7,2.3,7.0,13,76,89,0.72,0.32,1.04,0.72,1.04,0.37,0.18,0.56,0.37,0.56,Matches,4c370d81
169,Junior Firpo,es ESP,DF,Leeds United,26-236,1996,14,10,978,10.9,1,1,2,1,0,0,5,0,0.1,0.1,0.8,0.9,17,43,30,0.09,0.09,0.18,0.09,0.18,0.01,0.08,0.08,0.01,0.08,Matches,24f59bb2
170,Phil Foden,eng ENG,FW,Manchester City,22-322,2000,24,17,1406,15.6,9,5,14,9,0,0,1,0,4.8,4.8,3.0,7.8,39,62,221,0.58,0.32,0.90,0.58,0.90,0.31,0.19,0.50,0.31,0.50,Matches,ed1e53f3
171,Datro Fofana,ci CIV,FW,Chelsea,20-114,2002,2,1,61,0.7,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.4,2,1,8,0.00,0.00,0.00,0.00,0.00,0.35,0.17,0.53,0.35,0.53,Matches,e82900ef
172,Wesley Fofana,fr FRA,DF,Leicester City,22-119,2000,2,2,180,2.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,6,1,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches,132a82f1
173,Wesley Fofana,fr FRA,DF,Chelsea,22-119,2000,9,7,727,8.1,1,0,1,1,0,0,2,0,0.7,0.7,0.0,0.7,22,31,9,0.12,0.00,0.12,0.12,0.12,0.09,0.00,0.09,0.09,0.09,Matches,132a82f1
174,Pablo Fornals,es ESP,FWMF,West Ham,27-052,1996,24,12,1101,12.2,1,1,2,1,0,0,0,0,1.0,1.0,1.5,2.5,23,54,73,0.08,0.08,0.16,0.08,0.16,0.08,0.12,0.20,0.08,0.20,Matches,82927de4
175,Adam Forshaw,eng ENG,MF,Leeds United,31-189,1991,5,2,159,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,0,8,0,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.26,0.00,0.26,Matches,9f1938ab
176,Fraser Forster,eng ENG,GK,Tottenham,35-029,1988,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,c3e39f12
177,Tyrese Francois,au AUS,FW,Fulham,22-273,2000,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,6722d4f0
178,Ryan Fraser,sct SCO,FW,Newcastle Utd,29-050,1994,8,3,313,3.5,0,0,0,0,0,0,1,0,0.3,0.3,0.4,0.7,8,9,23,0.00,0.00,0.00,0.00,0.00,0.09,0.11,0.20,0.09,0.20,Matches,d56543a0
179,Fred,br BRA,MF,Manchester Utd,30-041,1993,26,10,1013,11.3,2,1,3,2,0,0,5,0,1.9,1.9,2.0,3.8,8,56,36,0.18,0.09,0.27,0.18,0.27,0.17,0.18,0.34,0.17,0.34,Matches,b853e0ad
180,Ryan Fredericks,eng ENG,DF,Bournemouth,30-187,1992,12,5,533,5.9,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,13,15,28,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches,c067631c
181,Remo Freuler,ch SUI,MF,Nott'ham Forest,31-000,1992,26,22,2022,22.5,0,0,0,0,0,0,4,0,0.4,0.4,0.8,1.2,7,51,11,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,Matches,98d2c2c4
182,Cody Gakpo,nl NED,FW,Liverpool,23-343,1999,12,10,841,9.3,4,0,4,4,0,0,0,0,2.9,2.9,0.6,3.6,20,22,67,0.43,0.00,0.43,0.43,0.43,0.31,0.07,0.38,0.31,0.38,Matches,1971591f
