,,,,,,,Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,,Per 90 Minutes,,,,,,,,,,,-additional
461,Thiago Silva,br BRA,DF,Chelsea,38-205,1984,21,20,1812,20.1,0,2,2,0,0,0,1,0,1.0,1.0,0.4,1.4,4,82,1,0.00,0.10,0.10,0.00,0.10,0.05,0.02,0.07,0.05,0.07,Matches,86e7deaf
462,Ellis Simms,eng ENG,FW,Everton,22-100,2001,8,2,197,2.2,1,0,1,1,0,0,0,0,0.9,0.9,0.1,0.9,2,4,16,0.46,0.00,0.46,0.46,0.46,0.39,0.03,0.42,0.39,0.42,Matches,26d3b5be
463,Luis Sinisterra,co COL,FW,Leeds United,23-302,1999,16,11,734,8.2,3,0,3,3,0,0,3,1,2.3,2.3,0.4,2.7,24,35,72,0.37,0.00,0.37,0.37,0.37,0.28,0.05,0.33,0.28,0.33,Matches,8e16dd48
464,Oliver Skipp,eng ENG,MF,Tottenham,22-211,2000,15,10,823,9.1,1,0,1,1,0,0,5,0,0.2,0.2,0.4,0.6,8,42,16,0.11,0.00,0.11,0.11,0.11,0.03,0.04,0.06,0.03,0.06,Matches,6250083a
465,Adam Smith,eng ENG,DF,Bournemouth,31-351,1991,29,29,2470,27.4,0,1,1,0,0,0,9,0,0.5,0.5,0.7,1.2,21,73,29,0.00,0.04,0.04,0.00,0.04,0.02,0.03,0.04,0.02,0.04,Matches,20b104bc
466,Emile Smith Rowe,eng ENG,FWMF,Arsenal,22-261,2000,9,0,122,1.4,0,1,1,0,0,0,0,0,0.3,0.3,0.6,0.9,2,4,11,0.00,0.74,0.74,0.00,0.74,0.19,0.45,0.64,0.19,0.64,Matches,17695062
467,Cédric Soares,pt POR,DF,Arsenal,31-227,1991,2,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,839c14e1
468,Cédric Soares,pt POR,DF,Fulham,31-227,1991,4,1,85,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,5,6,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.08,0.02,0.08,Matches,839c14e1
469,Dominic Solanke,eng ENG,FW,Bournemouth,25-213,1997,25,24,2144,23.8,4,4,8,4,0,0,1,0,7.5,7.5,2.5,10.1,45,31,125,0.17,0.17,0.34,0.17,0.34,0.32,0.11,0.42,0.32,0.42,Matches,e77dc3b2
470,Manor Solomon,il ISR,FW,Fulham,23-265,1999,11,3,416,4.6,4,0,4,4,0,0,0,0,1.0,1.0,0.3,1.3,9,19,38,0.87,0.00,0.87,0.87,0.87,0.22,0.06,0.29,0.22,0.29,Matches,886f9aac
471,Tomáš Souček,cz CZE,MF,West Ham,28-047,1995,29,25,2218,24.6,1,1,2,1,0,0,2,0,2.9,2.9,1.0,3.9,11,76,39,0.04,0.04,0.08,0.04,0.08,0.12,0.04,0.16,0.12,0.16,Matches,6613c819
472,Boubakary Soumaré,fr FRA,MF,Leicester City,24-047,1999,19,13,1014,11.3,0,0,0,0,0,0,5,0,0.0,0.0,0.2,0.3,12,45,12,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches,ae59b359
473,Harry Souttar,au AUS,DF,Leicester City,24-175,1998,9,9,810,9.0,0,1,1,0,0,0,2,0,1.3,1.3,0.2,1.5,6,27,4,0.00,0.11,0.11,0.00,0.11,0.15,0.02,0.17,0.15,0.17,Matches,0a6cb1b1
474,Çağlar Söyüncü,tr TUR,DF,Leicester City,26-327,1996,2,1,79,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,21166ff4
475,Djed Spence,eng ENG,FWDF,Tottenham,22-249,2000,4,0,7,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,0,2,0.00,0.00,0.00,0.00,0.00,0.83,0.00,0.83,0.83,0.83,Matches,9bc9a519
476,Jack Stacey,eng ENG,DF,Bournemouth,27-009,1996,9,3,297,3.3,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,9,2,15,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches,558807c0
477,Junior Stanislas,eng ENG,MF,Bournemouth,33-140,1989,4,0,61,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,0,4,5,0.00,0.00,0.00,0.00,0.00,0.05,0.19,0.25,0.05,0.25,Matches,6992791d
478,Jay Stansfield,eng ENG,FW,Fulham,20-142,2002,3,1,87,1.0,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.3,2,0,4,0.00,0.00,0.00,0.00,0.00,0.26,0.09,0.35,0.26,0.35,Matches,b2626673
479,Jason Steele,eng ENG,GK,Brighton,32-240,1990,6,6,540,6.0,0,1,1,0,0,0,1,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.17,0.17,0.00,0.17,0.00,0.01,0.01,0.00,0.01,Matches,28300a16
480,Jack Stephens,eng ENG,DF,Southampton,29-078,1994,2,0,46,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,6adbc307
481,Jack Stephens,eng ENG,DF,Bournemouth,29-078,1994,13,11,993,11.0,0,0,0,0,0,0,2,0,0.4,0.4,0.2,0.6,2,23,3,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,Matches,6adbc307
482,Raheem Sterling,eng ENG,FWMF,Chelsea,28-128,1994,21,17,1411,15.7,4,2,6,4,0,0,4,0,4.5,4.5,3.7,8.2,59,44,143,0.26,0.13,0.38,0.26,0.38,0.29,0.23,0.52,0.29,0.52,Matches,b400bde0
483,John Stones,eng ENG,DFMF,Manchester City,28-322,1994,17,16,1414,15.7,0,2,2,0,0,0,2,0,0.6,0.6,1.3,1.9,21,84,29,0.00,0.13,0.13,0.00,0.13,0.04,0.08,0.12,0.04,0.12,Matches,5eecec3d
484,Pascal Struijk,nl NED,DF,Leeds United,23-247,1999,24,23,1957,21.7,2,1,3,2,0,0,4,0,1.3,1.3,2.3,3.6,22,112,45,0.09,0.05,0.14,0.09,0.14,0.06,0.11,0.17,0.06,0.17,Matches,f4d296e4
485,Kamaldeen Sulemana,gh GHA,FWMF,Southampton,21-059,2002,10,7,625,6.9,0,0,0,0,0,0,1,0,0.8,0.8,0.4,1.1,19,25,58,0.00,0.00,0.00,0.00,0.00,0.11,0.06,0.16,0.11,0.16,Matches,a62f8bf1
486,Crysencio Summerville,nl NED,FW,Leeds United,21-167,2001,22,10,1108,12.3,4,2,6,4,0,0,3,0,2.5,2.5,1.3,3.8,46,36,68,0.32,0.16,0.49,0.32,0.49,0.21,0.11,0.31,0.21,0.31,Matches,df04eb4b
487,Sam Surridge,eng ENG,FW,Nott'ham Forest,24-261,1998,16,1,281,3.1,1,0,1,1,0,0,2,0,1.8,1.8,0.1,1.8,2,6,14,0.32,0.00,0.32,0.32,0.32,0.57,0.02,0.59,0.57,0.59,Matches,b017b770
488,Japhet Tanganga,eng ENG,DF,Tottenham,24-015,1999,3,2,142,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,5,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,e9971f2d
489,Matt Targett,eng ENG,DF,Newcastle Utd,27-209,1995,12,4,436,4.8,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,2,32,12,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07,Matches,e514ab62
490,James Tarkowski,eng ENG,DF,Everton,30-147,1992,30,30,2700,30.0,1,1,2,1,0,0,6,0,2.1,2.1,1.8,3.9,11,81,7,0.03,0.03,0.07,0.03,0.07,0.07,0.06,0.13,0.07,0.13,Matches,15ea812b
491,Marcus Tavernier,eng ENG,MFFW,Bournemouth,24-024,1999,20,16,1498,16.6,4,4,8,4,0,0,1,0,2.6,2.6,2.4,5.0,52,40,111,0.24,0.24,0.48,0.24,0.48,0.16,0.14,0.30,0.16,0.30,Matches,5c0da4a4
492,Tetê,br BRA,FW,Leicester City,23-059,2000,9,7,514,5.7,1,0,1,1,0,0,0,0,1.3,1.3,0.1,1.4,19,19,39,0.18,0.00,0.18,0.18,0.18,0.23,0.02,0.25,0.23,0.25,Matches,7120a04d
493,Kenny Tete,nl NED,DF,Fulham,27-188,1995,23,21,1872,20.8,0,4,4,0,0,0,7,0,0.4,0.4,1.5,1.9,49,69,48,0.00,0.19,0.19,0.00,0.19,0.02,0.07,0.09,0.02,0.09,Matches,77d7c96f
494,Luke Thomas,eng ENG,DF,Leicester City,21-309,2001,11,8,722,8.0,0,0,0,0,0,0,1,0,0.1,0.1,0.6,0.7,7,37,7,0.00,0.00,0.00,0.00,0.00,0.01,0.08,0.09,0.01,0.09,Matches,fc027d02
495,Youri Tielemans,be BEL,MF,Leicester City,25-343,1997,23,19,1708,19.0,3,1,4,2,1,2,3,0,2.3,0.7,3.7,4.4,27,143,47,0.16,0.05,0.21,0.11,0.16,0.12,0.19,0.31,0.04,0.23,Matches,56f7a928
496,Kieran Tierney,sct SCO,DF,Arsenal,25-314,1997,21,4,534,5.9,0,1,1,0,0,0,0,0,0.3,0.3,0.3,0.6,21,29,24,0.00,0.17,0.17,0.00,0.17,0.05,0.06,0.11,0.05,0.11,Matches,fce2302c
497,Harry Toffolo,eng ENG,DF,Nott'ham Forest,27-239,1995,15,9,879,9.8,0,0,0,0,0,0,2,0,0.3,0.3,0.8,1.0,8,26,40,0.00,0.00,0.00,0.00,0.00,0.03,0.08,0.11,0.03,0.11,Matches,a105d46a
498,Takehiro Tomiyasu,jp JPN,DF,Arsenal,24-161,1998,21,6,663,7.4,0,1,1,0,0,0,2,0,0.2,0.2,0.6,0.8,14,51,28,0.00,0.14,0.14,0.00,0.14,0.03,0.08,0.11,0.03,0.11,Matches,b3af9be1
499,James Tomkins,eng ENG,DF,Crystal Palace,34-017,1989,5,3,337,3.7,1,0,1,1,0,0,3,1,1.0,1.0,0.0,1.0,1,2,1,0.27,0.00,0.27,0.27,0.27,0.27,0.00,0.27,0.27,0.27,Matches,e7ca0439
500,Ivan Toney,eng ENG,FW,Brentford,27-030,1996,28,28,2509,27.9,18,4,22,12,6,7,9,0,17.7,12.2,4.3,16.5,11,66,137,0.65,0.14,0.79,0.43,0.57,0.64,0.16,0.79,0.44,0.59,Matches,e09f279b
501,Adama Traoré,es ESP,FWMF,Wolves,27-080,1996,27,10,1257,14.0,2,1,3,2,0,0,0,0,1.2,1.2,3.5,4.7,71,32,138,0.14,0.07,0.21,0.14,0.21,0.09,0.25,0.34,0.09,0.34,Matches,9a28eba4
502,Bertrand Traoré,bf BFA,FWMF,Aston Villa,27-221,1995,4,0,122,1.4,2,0,2,2,0,0,0,0,0.6,0.6,0.1,0.7,6,3,17,1.48,0.00,1.48,1.48,1.48,0.47,0.05,0.52,0.47,0.52,Matches,c47541e0
503,Boubacar Traoré,ml MLI,MF,Wolves,21-238,2001,8,4,384,4.3,0,1,1,0,0,0,2,0,0.1,0.1,0.2,0.2,4,8,2,0.00,0.23,0.23,0.00,0.23,0.02,0.04,0.06,0.02,0.06,Matches,999ceb5f
504,Mark Travers,ie IRL,GK,Bournemouth,23-332,1999,11,10,945,10.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,fe558029
505,Kieran Trippier,eng ENG,DF,Newcastle Utd,32-208,1990,29,29,2553,28.4,1,6,7,1,0,0,5,0,0.7,0.7,9.0,9.7,26,188,118,0.04,0.21,0.25,0.04,0.25,0.03,0.32,0.34,0.03,0.34,Matches,21512407
506,Leandro Trossard,be BEL,FW,Arsenal,28-132,1994,12,7,554,6.2,1,7,8,1,0,0,0,0,1.4,1.4,3.6,5.0,26,31,73,0.16,1.14,1.30,0.16,1.30,0.22,0.59,0.81,0.22,0.81,Matches,38ceb24a
507,Leandro Trossard,be BEL,FWMF,Brighton,28-132,1994,16,16,1315,14.6,7,2,9,7,0,0,1,0,4.4,4.4,2.1,6.5,40,67,118,0.48,0.14,0.62,0.48,0.62,0.30,0.14,0.45,0.30,0.45,Matches,38ceb24a
508,Kostas Tsimikas,gr GRE,DF,Liverpool,26-338,1996,16,7,622,6.9,0,4,4,0,0,0,2,0,0.6,0.6,1.5,2.2,19,22,69,0.00,0.58,0.58,0.00,0.58,0.09,0.22,0.31,0.09,0.31,Matches,f315ca93
509,Deniz Undav,de GER,FWMF,Brighton,26-270,1996,13,2,258,2.9,0,0,0,0,0,0,0,0,2.2,2.2,0.7,2.9,3,3,22,0.00,0.00,0.00,0.00,0.00,0.77,0.25,1.02,0.77,1.02,Matches,dd549382
510,Yan Valery,tn TUN,DF,Southampton,24-052,1999,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,531a4aa8
511,Virgil van Dijk,nl NED,DF,Liverpool,31-281,1991,24,24,2115,23.5,3,0,3,3,0,0,2,0,2.2,2.2,0.2,2.4,10,94,6,0.13,0.00,0.13,0.13,0.13,0.09,0.01,0.10,0.09,0.10,Matches,e06683ca
512,Raphaël Varane,fr FRA,DF,Manchester Utd,29-355,1993,21,19,1651,18.3,0,0,0,0,0,0,1,0,0.7,0.7,0.2,0.9,16,53,3,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,Matches,9f8e9423
513,Jamie Vardy,eng ENG,FW,Leicester City,36-094,1987,29,13,1415,15.7,1,4,5,1,0,0,1,0,2.8,2.8,0.8,3.6,12,12,81,0.06,0.25,0.32,0.06,0.32,0.18,0.05,0.23,0.18,0.23,Matches,45963054
514,Joël Veltman,nl NED,DF,Brighton,31-090,1992,26,21,1963,21.8,1,1,2,1,0,0,2,0,1.7,1.7,0.5,2.2,42,142,46,0.05,0.05,0.09,0.05,0.09,0.08,0.02,0.10,0.08,0.10,Matches,dad4b285
515,Fabio Vieira,pt POR,MFFW,Arsenal,22-320,2000,18,2,415,4.6,1,2,3,1,0,0,0,0,0.7,0.7,2.3,3.1,5,27,34,0.22,0.43,0.65,0.22,0.65,0.16,0.51,0.67,0.16,0.67,Matches,6412cc03
516,Matías Viña,uy URU,MFDF,Bournemouth,25-157,1997,4,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,08eb3b58
517,Rúben Vinagre,pt POR,DFMF,Everton,24-006,1999,2,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,b937e490
518,Carlos Vinícius,br BRA,FW,Fulham,28-021,1995,20,7,742,8.2,2,1,3,2,0,0,3,0,1.7,1.7,0.6,2.3,4,8,31,0.24,0.12,0.36,0.24,0.36,0.20,0.07,0.27,0.20,0.27,Matches,8b529245
519,Theo Walcott,eng ENG,FWMF,Southampton,34-030,1989,12,6,618,6.9,1,1,2,1,0,0,1,0,1.2,1.2,0.8,2.0,10,3,34,0.15,0.15,0.29,0.15,0.29,0.18,0.12,0.30,0.18,0.30,Matches,1ecb65be
520,Kyle Walker,eng ENG,DF,Manchester City,32-322,1990,18,14,1201,13.3,0,0,0,0,0,0,2,0,0.4,0.4,0.2,0.5,30,111,34,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches,86dd77d1
521,Kyle Walker-Peters,eng ENG,DF,Southampton,26-002,1997,23,22,1930,21.4,1,0,1,1,0,0,2,0,0.8,0.8,1.0,1.9,74,70,89,0.05,0.00,0.05,0.05,0.05,0.04,0.05,0.09,0.04,0.09,Matches,984a5a64
522,Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,25-140,1997,12,9,829,9.2,0,0,0,0,0,0,0,0,0.8,0.8,0.8,1.6,24,32,36,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.18,0.09,0.18,Matches,9e525177
523,Danny Ward,wls WAL,GK,Leicester City,29-297,1993,26,26,2340,26.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,d3ce0e89
524,Joel Ward,eng ENG,DF,Crystal Palace,33-168,1989,20,17,1581,17.6,0,0,0,0,0,0,5,0,0.1,0.1,0.1,0.2,8,63,31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,Matches,8a7ff278
525,James Ward-Prowse,eng ENG,MF,Southampton,28-165,1994,30,30,2700,30.0,7,2,9,6,1,3,5,0,4.8,2.3,5.3,7.5,18,170,45,0.23,0.07,0.30,0.20,0.27,0.16,0.18,0.33,0.08,0.25,Matches,3515d404
526,Ollie Watkins,eng ENG,FW,Aston Villa,27-106,1995,29,28,2413,26.8,12,5,17,11,1,1,2,0,12.2,11.4,2.9,14.3,42,35,151,0.45,0.19,0.63,0.41,0.60,0.45,0.11,0.56,0.43,0.53,Matches,aed3a70f
527,Adam Webster,eng ENG,DF,Brighton,28-101,1995,22,18,1610,17.9,0,0,0,0,0,0,1,0,1.6,1.6,0.1,1.7,16,91,7,0.00,0.00,0.00,0.00,0.00,0.09,0.01,0.09,0.09,0.09,Matches,c40b6180
528,Wout Weghorst,nl NED,FWMF,Manchester Utd,30-251,1992,10,9,625,6.9,0,1,1,0,0,0,0,0,1.3,1.3,0.8,2.2,1,14,33,0.00,0.14,0.14,0.00,0.14,0.19,0.12,0.31,0.19,0.31,Matches,c4e87b8b
529,Danny Welbeck,eng ENG,FW,Brighton,32-140,1990,22,16,1423,15.8,3,2,5,3,0,0,0,0,6.5,6.5,2.6,9.1,21,33,106,0.19,0.13,0.32,0.19,0.32,0.41,0.17,0.57,0.41,0.57,Matches,ce5143da
530,Ben White,eng ENG,DF,Arsenal,25-189,1997,30,28,2335,25.9,2,3,5,2,0,0,5,0,1.3,1.3,2.1,3.4,52,196,99,0.08,0.12,0.19,0.08,0.19,0.05,0.08,0.13,0.05,0.13,Matches,35e413f1
531,Harvey White,eng ENG,MF,Tottenham,21-208,2001,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,4d90ce8c
532,Joseph Whitworth,eng ENG,GK,Crystal Palace,19-045,2004,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,3f847d95
533,Neco Williams,wls WAL,DF,Nott'ham Forest,22-002,2001,28,17,1638,18.2,0,0,0,0,0,0,5,0,1.1,1.1,1.3,2.4,42,32,65,0.00,0.00,0.00,0.00,0.00,0.06,0.07,0.13,0.06,0.13,Matches,dd323728
534,Willian,br BRA,FW,Fulham,34-249,1988,20,18,1543,17.1,3,2,5,3,0,0,2,0,2.5,2.5,2.7,5.2,67,81,101,0.17,0.12,0.29,0.17,0.29,0.15,0.16,0.30,0.15,0.30,Matches,8b9ebd03
535,Joe Willock,eng ENG,MF,Newcastle Utd,23-238,1999,28,24,2004,22.3,3,4,7,3,0,0,1,0,5.8,5.8,4.1,9.8,74,94,116,0.13,0.18,0.31,0.13,0.31,0.26,0.18,0.44,0.26,0.44,Matches,a3b03921
536,Callum Wilson,eng ENG,FW,Newcastle Utd,31-047,1992,22,16,1358,15.1,10,4,14,9,1,1,3,0,10.4,9.6,2.1,11.7,21,17,90,0.66,0.27,0.93,0.60,0.86,0.69,0.14,0.83,0.63,0.78,Matches,c596fcb0
537,Harry Wilson,wls WAL,FW,Fulham,26-024,1997,20,4,462,5.1,0,0,0,0,0,0,1,0,1.1,1.1,0.2,1.3,8,16,40,0.00,0.00,0.00,0.00,0.00,0.21,0.04,0.25,0.21,0.25,Matches,c6dc9ecd
538,Yoane Wissa,cd COD,FW,Brentford,26-224,1996,30,12,1215,13.5,5,2,7,5,0,0,2,0,3.9,3.9,2.2,6.1,17,24,83,0.37,0.15,0.52,0.37,0.52,0.29,0.16,0.45,0.29,0.45,Matches,2500cef9
539,Maximilian Wöber,at AUT,DF,Leeds United,25-070,1998,10,9,790,8.8,0,0,0,0,0,0,1,0,0.6,0.6,0.5,1.1,7,36,3,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.12,0.06,0.12,Matches,4b803b3c
540,Chris Wood,nz NZL,FW,Newcastle Utd,31-129,1991,18,4,446,5.0,2,0,2,1,1,1,0,0,1.8,1.0,0.3,1.3,1,4,23,0.40,0.00,0.40,0.20,0.20,0.37,0.06,0.43,0.21,0.27,Matches,4e9a0555
541,Chris Wood,nz NZL,FW,Nott'ham Forest,31-129,1991,7,5,372,4.1,1,0,1,1,0,0,0,0,1.0,1.0,0.2,1.2,2,7,12,0.24,0.00,0.24,0.24,0.24,0.23,0.05,0.28,0.23,0.28,Matches,4e9a0555
542,Joe Worrall,eng ENG,DF,Nott'ham Forest,26-095,1997,23,17,1699,18.9,1,0,1,1,0,0,6,0,0.5,0.5,0.6,1.2,5,54,1,0.05,0.00,0.05,0.05,0.05,0.03,0.03,0.06,0.03,0.06,Matches,a5212312
543,Granit Xhaka,ch SUI,MF,Arsenal,30-200,1992,30,29,2469,27.4,5,5,10,5,0,0,4,0,3.0,3.0,4.4,7.4,34,175,154,0.18,0.18,0.36,0.18,0.36,0.11,0.16,0.27,0.11,0.27,Matches,e61b8aee
544,Ryan Yates,eng ENG,MF,Nott'ham Forest,25-145,1997,21,17,1494,16.6,0,2,2,0,0,0,4,0,2.2,2.2,1.2,3.4,10,37,23,0.00,0.12,0.12,0.00,0.12,0.13,0.07,0.20,0.13,0.20,Matches,c1fe2a48
545,Ashley Young,eng ENG,DF,Aston Villa,37-280,1985,22,17,1542,17.1,1,0,1,1,0,0,3,0,0.2,0.2,0.9,1.1,22,89,30,0.06,0.00,0.06,0.06,0.06,0.01,0.05,0.06,0.01,0.06,Matches,be927d03
546,Illia Zabarnyi,ua UKR,DF,Bournemouth,20-226,2002,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,88968486
547,Wilfried Zaha,ci CIV,FWMF,Crystal Palace,30-156,1992,24,24,2065,22.9,6,2,8,6,0,2,4,0,5.9,4.2,2.5,6.7,70,60,212,0.26,0.09,0.35,0.26,0.35,0.26,0.11,0.37,0.18,0.29,Matches,b2bc3b1f
548,Denis Zakaria,ch SUI,MF,Chelsea,26-146,1996,6,4,338,3.8,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,9,6,3,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06,Matches,384d58d9
549,Jordan Zemura,zw ZIM,DF,Bournemouth,23-152,1999,19,17,1454,16.2,0,1,1,0,0,0,1,0,0.4,0.4,1.9,2.2,39,45,48,0.00,0.06,0.06,0.00,0.06,0.02,0.11,0.14,0.02,0.14,Matches,e8271ad9
550,Oleksandr Zinchenko,ua UKR,DF,Arsenal,26-121,1996,23,22,1825,20.3,1,2,3,1,0,0,2,0,1.3,1.3,1.4,2.7,63,200,60,0.05,0.10,0.15,0.05,0.15,0.07,0.07,0.13,0.07,0.13,Matches,51cf8561
551,Hakim Ziyech,ma MAR,FWMF,Chelsea,30-027,1993,13,6,572,6.4,0,1,1,0,0,0,1,0,0.6,0.6,1.4,2.0,13,35,56,0.00,0.16,0.16,0.00,0.16,0.09,0.22,0.31,0.09,0.31,Matches,6622454d
552,Kurt Zouma,fr FRA,DF,West Ham,28-170,1994,20,19,1656,18.4,2,0,2,2,0,0,0,0,2.1,2.1,0.1,2.2,1,24,1,0.11,0.00,0.11,0.11,0.11,0.11,0.00,0.12,0.11,0.12,Matches,ce4246f5
553,Martin Ødegaard,no NOR,MF,Arsenal,24-119,1998,29,29,2469,27.4,10,7,17,10,0,0,4,0,8.2,8.2,6.9,15.1,68,212,155,0.36,0.26,0.62,0.36,0.62,0.30,0.25,0.55,0.30,0.55,Matches,79300479